Type,Recipe,Sales Price,Effect,Stamina Recovery,Holiday Gift,Ingredient1,Ingredient2,Ingredient3,Ingredient4,IngredientA
Salads,Guacamole Salad,1309,Stamina Saver Lv. 3,Slight,,Avocado,Onion,Tomato,Salt,Lemon|Salt|Pepper
Salads,Turnip Salad,260,Stamina Saver Lv. 1,Slight,,Turnip,,,,Cucumber|Tomato|Red Bell Pepper
Salads,Herb Salad,137,Stamina Saver Lv. 1,Slight,,Mint|Chamomile|Lavender,Mint|Chamomile|Lavender,,,Broccoli|Tomato|Boiled Egg|Olive Oil|Salt|Pepper
Salads,Poke,1197,Watering Rare Crop % Lv. 3,Slight,,Avocado,Salmon,Soy Sauce,,Onion|Green Onion|Oil
Salads,Mashed Potatoes,677,Watering Rare Crop % Lv. 2,Slight,,Potato,Butter|Herb Butter|Butter +,,,Milk|Buffalo Milk|Mint|Salt|Pepper
Salads,Onion Salad,325,Watering Rare Crop % Lv. 1,Slight,,Onion,,,,Cucumber|Tomato|Turnip
Soups,Asparagus Soup,1728,Rod Durability Up Lv. 4,Slight,Hearth Day,Asparagus,Milk|Buffalo Milk,Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil,Onion,Porcini Mushroom|Morel Mushroom|Salt|Pepper|Olive Oil|Pumpkin Oil|Grape Oil
Soups,Onion Soup,1024,Rod Durability Up Lv. 3,Slight,Hearth Day,Onion,Butter|Herb Butter|Butter +,,,Garlic|Salt|Pepper|Baguettes
Soups,Radish Soup,770,Rod Durability Up Lv. 2,Slight,Hearth Day,Radish,Milk|Buffalo Milk,Salt,,Onion|Butter|Herb Butter|Butter +|Pepper
Soups,Pumpkin Soup,1320,Run Speed Up Lv. 3,Slight,Hearth Day,Pumpkin,Milk|Buffalo Milk,Onion,,Butter|Herb Butter|Butter +|Salt|Pepper
Soups,Gazpacho Soup,490,Run Speed Up Lv. 1,Slight,,Tomato,Garlic,Bread|White Bread|Baguettes|Focaccia Bread,,Cucumber|Onion|Green Bell Pepper|Olive Oil|Salt
Soups,Herb Soup,137,Run Speed Up Lv. 1,Slight,Hearth Day,Mint|Chamomile|Lavender,Mint|Chamomile|Lavender,,,Onion|Cabbage|Carrot|Broccoli|Salt|Olive Oil
Soups,Egg Drop Soup,117,Run Speed Up Lv. 1,Slight,Hearth Day,Egg|Silkie Egg,,,,Green Onion|Soy Sauce|Salt|Pepper|Oil
Sides,Morel Cream Stew,2592,Max Stamina Up Lv. 4,Moderate,Hearth Day,Morel Mushroom,Buffalo Milk,Butter|Herb Butter|Butter +,Urchin,Onion|Garlic|Pasta|Salt|Pepper|Nut Oil|Herb Oil|Olive Oil
Sides,Steamed Bun,1377,Max Stamina Up Lv. 3,Slight,,Wheat Flour,Napa Cabbage,Shiitake Mushrrom,Green Onion,Sugar|Salt|Pepper|Oil
Sides,Stir-Fried Vegetables,1276,Max Stamina Up Lv. 3,Slight,,Cabbage,Napa Cabbage,,,Carrot|Green Bell Pepper|Asparagus|Pumpkin|Salt|Pepper
Sides,Stuffed Cabbage,1213,Max Stamina Up Lv. 3,Slight,,Cabbage,Carrot,,,Salt|Pepper|Nut Oil|Herb Oil|Olive Oil|Pumpkin Oil|Grape Oil
Sides,Scones,1155,Max Stamina Up Lv. 3,Slight,,Wheat Flour,Butter|Herb Butter|Butter +,Milk|Buffalo Milk,,Grape Jam|Apple Jam|Blueberry Jam|Strawberry Jam
Sides,Buttered Roll,1056,Max Stamina Up Lv. 3,Slight,,Wheat Flour,Egg|Silkie Egg,Butter|Herb Butter|Butter +,,Milk|Buffalo Milk|Sugar|Salt
Sides,Sautéed Turnips,882,Max Stamina Up Lv. 2,Slight,,Turnip,Butter|Herb Butter|Butter +,,,Garlic|Salt|Pepper|Oil|Nut Oil|Herb Oil|Olive Oil|Miso
