"Type","Recipe","Sales Price","Effect","Stamina Recovery","Holiday Gift","Bazaar Trend","Favorite Gift","Loved Gift","Liked Gift","Ingredient1","Ingredient2","Ingredient3","Ingredient4","IngredientA"
"Other","Golden Blend Tea","13031","Chat Friendship Boost Lv. 4","Massive","Hearth Day","","","","","Golden Blend Tea Tin","","","","Heart Lemon|Milk +|Royal Honey"
"Sides","Kachapuri","10098","Double Forage","Massive","","","","","","Wheat Flour","Cheese +","Yogurt +","Butter +","Egg|Silkie Egg|Rice Flour|Sugar|Salt|Olive Oil|Pumpkin Oil|Grape Oil"
"Other","Specialty Juice","9511","Pet Training Up Lv. 4","Significant","","","","","","Spring Juice","Summer Juice","Autumn Juice","Royal Honey","Milk +|Fruit Yogurt|Royal Honey"
"Other","Spring Juice","935","Chat Friendship Boost Lv. 3","Slight","","","","","","Strawberry Juice","Orange Juice","Cherry Juice","","Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Summer Juice","1020","Run Speed Up Lv. 3","Slight","","","","","","Banana Juice","Peach Juice","Lemon Juice","","Lemon|Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Other","Autumn Juice","1010","Pet Training Up Lv. 3","Slight","","","","","","Blueberry Juice","Grape Juice","Apple Juice","","Milk|Buffalo Milk|Yogurt|Fruit Yogurt|Yogurt +|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Mains","Farmer's Breakfast","6957","None","Massive","","","","","","Potato","Onion","Cheese +","Mayonnaise +","Nut Oil|Herb Oil|Olive Oil|Pumpkin Oil|Grape Oil"
"Desserts","Trifle","6192","Petting Happiness Up Lv. 4","Moderate","Pumpkin Festival","","","","","Castella","Silkie Egg +","Yogurt +","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","Cookies|Herb Cookies|Walnut Cookies|Chocolate Cookies"
"Desserts","Castella","801","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Wheat Flour","Silkie Egg","Honey|Invigorating Honey|Mellow Honey|Royal Honey","","Milk|Buffalo Milk|Rice Flour|Sugar"
"Desserts","Rüeblitorte","3258","Jump Distance Up","Moderate","Hearth Day","","","","","Wheat Flour","Silkie Egg","Three-Forked Carrot","Lemon","Almond|Milk|Buffalo Milk|Breadcrumbs"
"Mains","Supreme Curry","3724","None","Massive","","","","","","Curry Rice","Star Potato","Three-Forked Carrot","","Giant Tomato|Brawny Onion|Golden Apple|Milk +|Buffalo Milk +"
"Mains","Curry Rice","911","None","Moderate","","","","","","Cooked Rice","Curry Powder","Potato|Carrot|Onion","","Tomato|Garlic|Apple"
"Other","Happy Fruit Platter","3274","Happy Energy Gain Lv. 4","Slight","","","","","","Heart Watermelon","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","Apple|Red Grapes|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","","Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Desserts","Pineapple Pie","3130","Petting Happiness Up Lv. 4","Moderate","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Butter|Herb Butter|Butter +","Jewel Pineapple","Lemon|Sugar|Salt"
"Other","Watermelon Tea","2793","Chat Friendship Boost Lv. 4","Slight","Hearth Day","","","","","Watermelon Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Mains","Pizzoccheri","2784","None","Massive","","","","","","Buckwheat Flour","Cheese|Herb Cheese|Cheese +","Cabbage","Potato","Garlic|Butter|Herb Butter|Butter +|Salt"
"Desserts","Whole Cheesecake","2746","Petting Rare Item % Lv. 4","Moderate","Pumpkin Festival","","","","","Wheat Flour","Egg +|Silkie Egg +","Buffalo Milk +","Cheese|Herb Cheese|Cheese +","Lemon|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Butter|Herb Butter|Butter +|Sugar|Cookies"
"Mains","Milk Hot Pot","2640","None","Massive","Hearth Day","Green-Colored Recipes","","","","Milk +","Carrot","Napa Cabbage","Spinach","Potato|Cabbage|Green Onion|Shimeji Mushroom|Butter|Herb Butter|Butter +"
"Sides","Morel Cream Stew","2592","Max Stamina Up Lv. 4","Moderate","Hearth Day","","","","","Morel Mushroom","Buffalo Milk","Butter|Herb Butter|Butter +","Urchin","Onion|Garlic|Pasta|Salt|Pepper|Nut Oil|Herb Oil|Olive Oil"
"Mains","Macaroni & Cheese","2592","None","Massive","","","","","","Wheat Flour","Cheese|Herb Cheese|Cheese +","Butter|Herb Butter|Butter +","Mayonnaise|Herb Mayonnaise|Mayonnaise +","Onion|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Milk|Buffalo Milk|Salt|Pepper"
"Mains","Hot Pot","2487","None","Massive","Hearth Day","","","","","Daikon Radish","Napa Cabbage","Green Onion","Nile Perch|Salmon|Masu Trout|Cherry Salmon|Brown Trout|Yellow Perch|Sweetfish","Carrot|Spinach|Bok Choy|Chili Pepper|Soy Milk|Soy Sauce"
"Other","Melon Tea","2472","Chat Friendship Boost Lv. 4","Slight","Hearth Day","Green-Colored Recipes","","","","Melon Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Salads","Caprese Salad","2429","Watering Rare Crop % Lv. 4","Slight","","","Sophie","","","Tomato","Cheese|Herb Cheese|Cheese +","Olive Oil","Salt","Avocado|Baguettes|Soy Sauce|Nut Oil|Herb Oil|Pumpkin Oil|Grape Oil|Salt"
"Mains","Raclette Cheese","1901","None","Massive","","","","","","Cheese|Herb Cheese|Cheese +","Corn","Carrot","Broccoli","Asparagus|French Fries|Toast|Butter|Herb Butter|Butter +|Salt|Pepper|Pumpkin Oil|Grape Oil"
"Sides","Quiche","1892","Max Stamina Up Lv. 4","Slight","","","","","","Wheat Flour","Spinach","Pumpkin","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Onion|Cheese|Herb Cheese|Cheese +|Salt|Pepper|Pumpkin Oil|Grape Oil"
"Salads","Macaroni Salad","1859","Stamina Saver Lv. 4","Slight","","Green-Colored Recipes","","Sophie","","Pasta","Cucumber","Mayonnaise|Herb Mayonnaise|Mayonnaise +","Carrot","Penne Pasta|Herb Pasta|Onion|Salt|Pepper"
"Mains","Pasta Salad","1817","None","Massive","","","","","","Pasta","Mixed Salad","Mayonnaise|Herb Mayonnaise|Mayonnaise +","","Penne Pasta|Herb Pasta|Milk|Buffalo Milk|Olive Oil|Salt|Pepper|Poached Egg"
"Soups","Corn Soup","1815","Run Speed Up Lv. 4","Slight","Hearth Day","","","","","Corn","Milk|Buffalo Milk","Butter|Herb Butter|Butter +","Onion","Potato|Egg|Silkie Egg|Salt"
"Desserts","Whole Chocolate Cake","1786","Petting Rare Item % Lv. 4","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg +|Silkie Egg +","Milk +|Buffalo Milk +","Chocolate","Butter|Herb Butter|Butter +|Sugar|Chocolate Cookies"
"Soups","Asparagus Soup","1728","Rod Durability Up Lv. 4","Slight","Hearth Day","Green-Colored Recipes","","","","Asparagus","Milk|Buffalo Milk","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Onion","Porcini Mushroom|Morel Mushroom|Salt|Pepper|Olive Oil|Pumpkin Oil|Grape Oil"
"Other","Pineapple Tea","1716","Chat Friendship Boost Lv. 3","Slight","Hearth Day","","","","","Pineapple Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
